query,node_count,timestamp
"clash.yaml ""proxies:"" filetype:yaml",0,2025-08-09 06:25:29
"clash.yml ""proxies:"" filetype:yml",0,2025-08-09 06:25:38
"clash.yaml ""proxy-providers:"" filetype:yaml",0,2025-08-09 06:25:47
"clash.yml ""proxy-providers:"" filetype:yml",0,2025-08-09 06:25:56
"clash.yaml ""proxies:"" site:github.com",0,2025-08-09 06:39:14
"clash.yml ""proxies:"" site:github.com",0,2025-08-09 06:39:19
"clash.yaml ""proxy-providers:"" site:github.com",0,2025-08-09 06:39:25
"clash.yml ""proxy-providers:"" site:github.com",0,2025-08-09 06:39:30
"filename:clash.yaml ""proxies:"" language:YAML",0,2025-08-09 06:56:27
"filename:clash.yml ""proxies:"" language:YAML",0,2025-08-09 06:56:32
"filename:clash.yaml ""proxy-providers:"" language:YAML",0,2025-08-09 06:56:41
"filename:clash.yml ""proxy-providers:"" language:YAML",0,2025-08-09 06:56:46
"filename:clash.yaml ""proxies:"" language:YAML",0,2025-08-09 06:58:22
"filename:clash.yml ""proxies:"" language:YAML",0,2025-08-09 06:58:27
"filename:clash.yaml ""proxy-providers:"" language:YAML",0,2025-08-09 06:58:32
"filename:clash.yml ""proxy-providers:"" language:YAML",0,2025-08-09 06:58:37
